,370,acusación,acusado,además,agosto,alzada,antecedentes,análisis,apelación,aplicable,aplicación,art,arts,así,auto,autos,años,base,bien,cada,casación,caso,comisión,conducta,conforme,consecuencia,considerando,constitucional,contradicción,contradictorio,corresponde,cp,cpp,cuanto,cuenta,cumplimiento,código,debe,debido,decir,declaró,defecto,defectos,defectuosa,defensa,delito,delitos,dentro,denuncia,departamental,derecho,derechos,doctrina,efecto,elementos,ello,embargo,errónea,establece,establecido,existe,existencia,fallo,falta,forma,fs,fundamentación,haber,hecho,hechos,homicidio,impugnado,imputado,inc,judicial,juez,juicio,jurídica,justicia,legal,lesiones,ley,manera,marzo,mayo,mediante,ministerio,misma,mismo,momento,motivo,motivos,norma,normas,nº,octubre,oral,parte,partes,particular,pena,penal,persona,precedente,precedentes,presente,previsto,principio,procedimiento,procesal,procesales,proceso,prueba,pruebas,puede,pues,público,recurrente,recurso,recursos,refiere,relación,requisitos,resolución,respecto,restringida,sala,segundo,sentencia,ser,señala,si,sido,siendo,siguientes,sino,situación,supremo,supremos,sustantiva,tiempo,tipo,toda,tribunal,tribunales,valoración,vez,vista,vta,víctima
contradicción,31174,54412,33072,44308,32680,133984,29772,46840,159299,27931,67758,235268,71847,58147,263987,54753,32144,30216,46990,31552,101939,90629,41256,53060,51989,33375,14322,25049,0,35143,28753,87732,144867,40458,41009,26867,48346,71285,107445,49012,19483,73366,31757,31611,47775,144728,67551,38544,67293,16526,111716,43187,61331,26853,37941,53883,44613,35126,27871,30369,26894,36293,39329,49261,56535,52968,98941,45064,117721,116150,21051,55854,50079,56872,39851,37109,84453,29845,72353,84181,80254,73355,76943,22604,38763,18204,32569,30722,52203,25791,122534,37800,50019,37760,18040,20841,21313,104197,26892,21773,79872,213664,66135,61951,49369,80146,42785,59338,42457,32947,24389,146960,146287,49512,48718,42691,39750,104040,191260,26816,27936,102023,42456,84008,71558,83243,57654,32735,332267,94117,32185,101754,39875,39310,17232,47030,27089,110389,31335,28321,46894,65258,19986,353003,25015,64239,24743,172500,22789,25195
contradictorio,16877,27866,16893,23945,18667,70055,17298,26267,89738,14892,40281,134943,40941,31404,163381,34178,17781,17350,23006,16146,72873,52094,23218,25505,28566,20957,9474,16604,35143,0,15070,43567,81052,20039,23236,16738,34733,40865,56539,24912,10566,37471,20514,16993,25398,74195,34502,22462,34620,9295,61018,26596,32576,14234,19542,26516,22276,19023,19071,17355,15185,20890,20577,25955,31103,35719,56553,22639,62834,61177,15421,33491,27056,30554,25453,18578,50558,15816,47658,44981,39062,43304,42013,14372,21103,10667,18962,19596,30353,15032,62960,20516,28282,21731,15484,13037,12549,56201,15307,12034,41041,128759,31569,43145,32869,41159,25611,34310,29360,21632,15743,78429,76498,24558,25407,22318,23700,60982,124080,15651,17200,54575,26256,47828,47920,48497,37393,17301,177063,51999,22492,49535,20084,25121,11925,24278,16224,68398,18436,14895,25864,32858,11782,196349,15395,32820,14221,110712,15557,12668
corresponde,17016,32996,20173,26023,17670,78274,16854,28033,91082,15751,40799,139634,40136,35473,144166,27033,21474,18073,27654,19674,49801,55701,24459,33399,32344,20750,8030,16189,28753,15070,0,52214,83137,25113,24710,14086,27045,43462,60045,28326,11434,40112,15531,19207,27834,85254,41668,21146,37563,9792,66500,25650,34012,16304,23307,31854,24569,20227,16317,18159,14365,19968,22860,27858,34418,39766,55723,26249,70538,70888,11869,27835,34935,32711,23588,26584,52453,18674,38295,47145,46668,43579,46417,13058,24894,15388,20375,18610,31029,15716,66804,21378,28379,20829,8301,13001,13377,61315,16657,13365,48929,125714,38424,27662,22617,47078,25021,36110,23857,23070,14250,92405,86767,28825,29405,25058,24951,52701,100605,15046,15595,59481,20353,49482,41294,46420,30767,18395,196674,56311,18383,59868,23256,24549,9282,29475,14887,59361,15254,16692,26593,37457,12868,207945,13829,37576,15586,87288,15569,15282
cp,52415,119350,62556,89725,56665,267021,50309,85191,289242,51244,123991,451736,134006,125359,423116,76730,70981,57879,90931,65813,120307,168320,81621,122348,95798,62485,18740,45105,87732,43567,52214,0,270770,80565,81659,41317,57622,133757,218891,97667,32066,140922,46196,60406,95795,302334,150432,61780,128476,21940,216709,75688,107844,44832,79162,113782,87172,63906,44191,55076,42895,61606,73171,94731,117540,79284,183660,98780,237557,256808,24934,87312,110149,102590,60431,72746,154387,51470,87359,148423,193640,116813,163589,30884,89502,33446,52854,56680,98676,48897,248147,65584,95848,70700,9617,31621,35950,182428,44240,40545,193033,360643,151870,85134,63868,153316,72069,111326,55109,55664,39090,300397,260577,95669,96283,83755,65593,161823,272077,43954,46361,204093,64543,140805,126367,141746,79674,61095,652232,179376,55038,204160,78899,81456,20906,108760,41285,160589,45332,53428,89077,132454,34385,649690,32413,114010,44246,262033,34217,39829
cpp,98884,168397,97485,132196,88588,395166,82044,139493,473382,78979,205233,728339,212712,178000,723295,134034,101345,90986,130387,98863,240042,269854,118666,158488,159747,103194,34813,80878,144867,81052,83137,270770,0,125278,127132,69182,98652,211833,317953,143010,57679,216677,90393,98544,150328,413758,202995,105801,192930,49163,343363,135191,169205,79869,114900,156013,125022,100047,82885,91137,70330,102206,113138,145169,176255,175267,297577,131872,349384,357181,52434,145010,170324,179269,116043,121770,273699,88186,187532,233300,236717,202213,238455,62016,124908,68435,99591,94162,150060,76435,352380,109859,146290,105519,21419,59779,70302,302916,80939,68178,241173,572096,193879,143869,117971,233851,130932,185994,105100,117434,71751,467192,424654,146111,143936,125160,120820,275404,502646,76128,83586,298947,108997,252363,216351,240773,148450,92067,997021,279210,98036,294975,115600,130390,42521,147173,73479,293254,78409,80032,135112,179611,62577,1046136,65701,183686,73380,443999,73031,75447
cuanto,27509,48116,32400,41300,24575,118255,24689,42599,137806,24794,61766,206947,57466,53530,202482,36679,31320,28799,40451,30418,70820,80269,36503,53606,48147,30804,13008,21172,40458,20039,25113,80565,125278,0,36867,18763,37184,64481,84178,41310,17716,60125,22930,27136,40421,125673,59017,30664,54903,15080,93756,35333,49878,26870,38322,44710,35040,30811,23859,25246,21103,30157,34524,43926,52741,50622,90861,38580,107936,108829,17078,39792,58653,48039,34105,40027,81351,28639,53814,68902,66250,63849,70097,17744,34801,18648,28249,27195,45139,24623,93795,32244,42452,30220,8507,16372,20856,89349,26775,20654,77918,182035,54730,36704,30721,65193,37326,55230,33231,32555,21134,129789,136313,44428,42241,36996,35195,73998,139687,24403,23083,86398,25613,74683,63659,69112,45302,26638,296927,83270,24325,87274,33855,36698,13135,46711,21998,86839,20989,26331,36706,55439,21508,317879,20075,60912,24656,121394,20708,29921
cuenta,25996,51016,29169,40677,25990,117106,24733,41710,136390,23537,60180,209507,62217,55816,216771,37610,33776,27952,39268,31008,68897,82910,36213,51709,46209,30936,11862,24945,41009,23236,24710,81659,127132,36867,0,19766,37189,67023,93369,42091,15760,60716,23790,30005,44193,127269,63378,30158,54850,12879,99509,39049,49170,23043,35731,47428,36329,28974,24095,26486,20777,30006,33431,43842,52830,61344,89025,40454,107485,109755,15787,40547,51925,47754,34403,39297,79982,25776,50930,68082,73727,60847,72085,18166,40919,25764,31049,28349,46212,23700,102114,31256,42280,31461,11193,18574,20120,87417,24553,19606,83872,181387,58680,40684,32803,68711,36755,53858,33784,36764,21253,142955,124124,42925,44539,37792,37180,76142,143524,22214,23871,91799,30058,71132,65986,69360,43086,27008,296493,84690,29098,88708,33862,39446,12948,45989,20945,83373,21461,23276,40067,54533,19066,307414,18362,54513,22338,129362,23893,20708
cumplimiento,13682,26178,13634,20547,16228,61219,15307,22265,75412,12727,31320,116024,36125,28181,128517,26418,16563,13808,21806,14925,53513,43119,20281,23395,25545,16096,7606,13532,26867,16738,14086,41317,69182,18763,19766,0,25709,33684,50614,22830,9063,33518,15782,14775,22995,67228,32677,18345,31024,8007,55344,22904,28075,12406,16257,25388,20814,15236,14176,15466,12122,16738,17645,23030,27918,32118,44571,21289,53239,53482,11133,26521,22843,26487,20777,17862,37884,13021,38573,39681,38164,35231,35147,11311,19677,11070,17086,14872,25312,12483,56090,16887,23943,18848,10801,11417,10059,49226,12880,10660,39687,106198,31148,28939,23949,38848,21172,27781,23559,18237,13231,72570,62206,22130,23046,21083,20242,49614,98250,13093,12362,47699,22518,39437,32761,40184,29709,15665,152712,44220,15358,46862,18224,19018,9859,22080,12079,54292,14821,12139,23635,28898,8903,163743,12355,26453,11435,82742,13527,9840
código,28113,39998,29550,40427,26350,104841,31811,43032,142263,27465,72081,230555,66211,55543,256649,50802,36217,32374,37232,30614,135950,91512,42759,47374,55493,34397,28165,26566,48346,34733,27045,57622,98652,37184,37189,25709,0,75171,63481,34406,19436,47294,27804,22707,31943,124657,52372,41437,40383,19204,98115,41894,53011,28504,36277,35783,26311,30029,33063,29026,24560,32612,32326,37409,49992,87709,87722,32117,104957,93944,36815,44780,60643,41229,51876,49690,82978,32712,90470,75412,46160,87187,61891,24800,28304,25728,36370,30789,52263,27480,63155,32934,43964,35355,49272,23972,24802,94870,37213,22785,78925,300083,36500,52289,46775,58290,49595,57923,89815,42789,29860,123436,131175,38706,41186,36818,45571,79449,219023,29472,22967,77902,28875,81326,71521,79970,76438,24986,286001,86220,28156,71937,28944,38224,27173,40761,25633,119319,23216,27415,32153,49749,29005,324629,30435,59443,30929,163962,31021,29438
debe,44231,86964,51932,71313,43975,201865,41447,72947,241218,42943,110739,359927,100301,96910,373472,65611,55022,51579,69198,54348,125162,149659,64078,92253,83255,55888,21831,44321,71285,40865,43462,133757,211833,64481,67023,33684,75171,0,154366,72917,27651,102148,40152,48142,71106,220631,107293,55641,89773,24078,175266,67959,90462,43369,65065,80424,60517,50321,43326,46065,36617,52518,59320,73553,91372,97144,152284,67715,187333,191330,29881,67325,96450,79028,63599,75378,142382,51868,94534,122163,118668,112584,126788,32327,65683,40852,51065,51123,82076,41370,165323,54504,75435,53345,25072,30909,35647,152579,47616,34385,135160,338575,95363,68897,55998,116224,64463,101172,68913,64669,38321,242169,221697,73719,79024,65784,62780,125376,254872,39860,42109,152543,46915,130510,117193,120968,78327,45448,513230,152852,50883,153904,59003,69743,24072,81369,38881,153094,36439,43180,64638,99115,36330,543638,35702,99297,41158,222727,38859,39977
debido,57190,144123,66641,99465,71027,310200,55501,94769,343982,57934,135993,506688,154927,141309,520312,95287,74403,62746,105354,74543,133299,192901,91574,128235,105114,73261,17224,57717,107445,56539,60045,218891,317953,84178,93369,50614,63481,154366,0,116822,33302,175189,61407,74588,121158,340407,171806,69093,155746,22368,268843,95011,128546,48334,83659,137077,110697,70873,47936,65296,49367,67947,83422,112229,131600,92841,201929,116185,262816,291397,24903,103168,104624,119166,68558,77604,179516,55048,95869,174429,229730,127988,190840,35649,107261,40662,64979,67699,114733,52091,309462,77356,109239,83590,13891,40278,41255,212601,48574,43453,188737,399951,183619,107741,79035,183710,78353,132183,68538,63441,44910,375546,294103,110497,116486,96443,77183,198843,322575,45749,57304,244281,87480,164641,144714,169403,85613,73444,748553,208283,74239,246110,93411,94167,22298,117029,47376,185327,57674,55543,110252,152124,33175,729026,33231,124021,44786,326925,40404,36249
decir,26958,63490,32400,47126,30914,138380,26214,44874,156477,27047,63352,234422,68460,64659,234151,44141,34748,30692,49145,34358,69502,92186,41918,60314,51140,33263,9358,25466,49012,24912,28326,97667,143010,41310,42091,22830,34406,72917,116822,0,16834,76197,26098,32941,50983,153281,76143,34509,68114,12587,117664,42498,59377,23553,39986,60640,47934,31704,24082,29907,23374,33101,39419,50041,61048,49326,92050,51011,122879,133043,13575,46781,53973,55105,34608,39629,82138,28253,51771,80650,98251,63436,85284,17961,46720,19861,31073,31479,53913,25281,131161,35677,50559,37029,8096,18155,20211,99766,25282,21543,86351,194972,78793,47965,35137,82409,37873,61435,32599,33582,21829,163762,142616,51364,52881,46730,37709,88583,154091,23270,26787,106842,36832,78160,65722,77360,44582,32686,340845,96324,30755,110451,43124,41349,12137,55865,23364,89824,25192,25825,49050,68987,17380,344938,18722,60381,22831,144886,20575,21946
declaró,12842,18418,14129,17325,10864,49685,12003,19309,60852,10699,27964,93555,26336,21557,98019,18109,13565,12476,16089,12421,40603,35902,15991,20018,22444,13237,6349,9858,19483,10566,11434,32066,57679,17716,15760,9063,19436,27651,33302,16834,0,24571,11185,12268,17150,51911,22836,15564,23146,9093,41366,16955,22338,12727,15433,17438,13673,13809,12143,11654,9824,14097,14843,18220,21478,29175,39743,14674,45485,41791,9836,20055,27115,21866,17544,18837,37424,13536,31925,31231,22922,30717,27371,9359,13357,10415,13956,11659,19223,10534,37084,14448,17852,12692,5331,8523,10374,40895,12402,9820,32222,85060,19869,18681,15738,28610,18885,24847,18252,16897,10568,55553,60550,18404,17492,15690,17488,35960,75473,11315,10140,34625,12255,35077,27769,32249,24732,11651,129406,35408,10642,34705,13734,15585,7210,17610,10821,44486,9843,11451,15150,21881,9764,144576,10874,27118,10973,59211,11742,14270
defecto,46633,89134,45610,65999,45166,206135,38842,64248,231759,39976,91651,341973,101693,89739,343486,64824,46224,42693,70224,49960,98186,126537,60085,82878,72222,47008,14328,33897,73366,37471,40112,140922,216677,60125,60716,33518,47294,102148,175189,76197,24571,0,42681,47325,75945,219262,106126,47844,102378,18074,171353,59457,87966,35296,56360,86732,69751,48717,33005,42972,34471,47430,57524,75092,86471,56094,140838,72437,175026,187045,19722,69767,70302,86827,47795,53863,123047,39952,71938,118439,140009,90555,123223,24933,63200,23157,41701,43496,74906,35410,193669,53026,72046,54699,10511,25433,29529,144645,35278,29622,122907,271261,112263,71278,54203,118726,59005,87565,47485,40846,31053,231591,210453,74598,74122,64295,50564,133013,224076,33085,38700,154687,56157,113658,95218,115907,62464,47228,499899,136082,44499,159291,60660,58868,16963,75374,33332,131421,38592,38665,70192,99150,26399,493804,25765,89457,32890,217877,24785,26246
defectos,20541,28406,16852,24512,18133,73974,17420,26385,93685,14928,39466,137752,43825,31461,151765,30760,17095,16532,24040,18069,61111,50250,22225,25802,30248,20246,8093,15614,31757,20514,15531,46196,90393,22930,23790,15782,27804,40152,61407,26098,11185,42681,0,18878,28679,73225,35145,21169,37367,10432,66019,28852,32479,15597,19106,27602,23830,19688,17033,17840,14355,21309,20973,28167,33273,34384,57822,23090,62009,60224,12709,32021,26763,34401,24370,21271,51867,15926,44334,45587,39097,41712,43272,13121,20846,11944,18575,17797,28241,14718,65488,22547,27800,22682,9699,12560,13897,59555,16078,12631,42715,116285,32995,34122,29239,44185,25958,35354,26676,22591,16470,85724,78420,27055,26532,23109,23223,61513,116355,15514,16067,54948,26457,49426,43059,49739,32702,17333,183179,52530,19981,53921,20715,23434,10356,24138,13803,63331,17702,14703,26295,32262,11818,199755,14286,34316,13797,98459,14584,13477
defectuosa,18908,40189,19138,29493,22470,87577,18522,31032,107608,17284,41287,157121,45936,40992,183654,30107,26242,20054,29182,23223,48951,67320,26729,39292,33573,24222,6761,21126,31611,16993,19207,60406,98544,27136,30005,14775,22707,48142,74588,32941,12268,47325,18878,0,35417,94752,50147,22476,43646,10308,74381,33136,37261,16544,25956,36822,29708,21770,17379,20867,15933,21415,23403,32702,40150,85828,60414,30797,75103,79812,9776,29968,35344,37443,28292,32201,62339,17964,39073,51413,58248,44487,54392,16588,41569,39431,27585,20703,35253,16276,79780,24064,31244,23187,5711,19857,16182,68942,17263,15429,50015,136433,47639,32042,23689,56780,27296,38900,21150,43353,15870,123988,97752,32251,33891,28542,31972,58127,112320,15622,18903,72226,23228,56702,47784,54408,30595,21983,229311,62681,24111,68036,25947,30053,8960,34098,16185,62409,17137,17081,33013,40996,12481,240147,13611,43552,15793,95135,29644,13898
defensa,29223,67413,32303,44806,32059,133507,27301,44405,154913,25860,62678,238419,71079,63826,238779,42487,35629,29913,46539,34227,67106,88897,41461,56713,50533,33694,10893,29376,47775,25398,27834,95795,150328,40421,44193,22995,31943,71106,121158,50983,17150,75945,28679,35417,0,146450,74469,34696,67225,12117,130225,46019,55988,23573,37545,58545,46149,32223,24619,30400,23700,30804,38058,49281,59778,60728,91895,49046,119578,128455,12444,46103,54670,56433,35590,39316,89648,26253,50772,77635,94133,63588,83045,18620,47943,25639,33007,31054,51565,25953,129424,34431,48194,37264,7735,21013,23241,98954,26031,21801,84506,189229,76491,47531,36567,81362,39263,61175,34470,38651,22853,175306,141516,49810,52494,42777,39854,88267,153869,24017,26615,107686,36926,76712,67781,78165,41840,31256,343769,95990,33466,106764,42132,43025,12139,51734,21476,86629,25314,25644,48316,63224,17453,335206,16906,57860,21526,144307,24294,19566
delito,80727,190664,104016,140847,91311,416472,81440,135800,463150,83602,201881,715775,203216,197619,704700,128814,112139,94476,146286,103028,213386,278097,133453,192013,155037,101501,33006,75904,144728,74195,85254,302334,413758,125673,127269,67228,124657,220631,340407,153281,51911,219262,73225,94752,146450,0,234644,102545,197454,38546,346366,122377,178281,75653,126396,177789,137038,102864,72917,89345,70542,99468,115263,149054,181834,142461,283375,152894,380258,403705,52446,137481,180388,157817,102976,123143,252859,90392,156846,242285,288236,202095,253079,52564,136684,58330,92482,93334,161809,77791,376716,104044,150624,109864,33063,54457,60339,297789,76573,66198,278939,635761,233821,140485,104692,244819,120988,186366,108115,92489,64222,474938,421943,151808,157374,133629,113004,256305,460732,70815,76334,320744,103129,231606,202399,228593,141364,96599,1037339,288580,90790,323204,125758,128905,38814,166422,70627,276578,72709,85966,139717,217207,58819,1040630,57188,184947,74334,435467,60022,71792
delitos,36266,96793,45619,67959,46146,198680,38125,64565,218959,39545,92072,343726,105613,98738,339359,61210,58939,43162,71441,50578,91108,139256,64002,93588,73024,49088,14839,41119,67551,34502,41668,150432,202995,59017,63378,32677,52372,107293,171806,76143,22836,106126,35145,50147,74469,234644,0,49066,95849,14799,167610,64060,83449,32559,58694,88354,68108,45531,34774,44016,32803,45591,55438,70690,91463,86901,129137,75214,172327,194795,16025,64824,73804,76290,49640,61574,116501,38432,66838,114969,152163,93221,123298,25502,76924,38722,46326,45724,79193,34957,189581,47745,74110,55883,16550,28614,26247,143121,34499,31986,143027,299278,117823,68058,49533,124043,51397,85481,47897,51230,30056,249674,186861,70716,76837,64256,57060,120043,211406,33038,38471,162450,52265,108456,96887,108369,60671,48063,496473,142326,48391,158779,61148,62047,16608,81962,32029,122956,34672,38423,72053,100290,23945,484457,24531,80040,32139,202105,34445,19048
dentro,22950,38446,25759,33303,21823,92891,22002,35104,115102,20357,52515,178776,51345,44279,185413,36429,26539,23691,32378,24293,75834,70123,31279,40843,40572,25087,12380,20054,38544,22462,21146,61780,105801,30664,30158,18345,41437,55641,69093,34509,15564,47844,21169,22476,34696,102545,49066,0,43459,13558,83262,33347,43446,21378,28651,36038,27840,24521,22533,22742,18339,26019,28190,33857,41729,51055,71335,30398,86280,83553,16485,36452,44214,40704,33417,34415,64883,24265,55912,60353,51290,57835,54935,17326,28515,18613,26461,23624,38762,19880,75661,26304,37027,26779,14249,16165,17715,75702,22989,17482,61246,169924,42384,38671,31956,55399,33735,46315,37277,31883,19162,112339,105825,34821,34892,30895,32819,67229,140618,20653,20263,68995,25489,64492,51902,60078,44042,22062,238637,69886,23189,68695,27871,30937,13718,35685,19783,80365,19410,21336,31287,44728,16763,259892,19699,46659,19244,114800,20382,20677
denuncia,37418,79612,42053,59626,42169,186987,35355,59227,208004,34921,82245,306247,92185,80338,312535,59818,42995,38136,62559,43024,94523,114669,53274,73814,65795,43069,12063,31619,67293,34620,37563,128476,192930,54903,54850,31024,40383,89773,155746,68114,23146,102378,37367,43646,67225,197454,95849,43459,0,17318,152495,55842,76449,32039,50994,77588,63068,44379,31234,39029,30363,43957,51260,68364,77001,57122,125913,65512,157609,165363,17663,65356,66067,75461,43431,48277,108603,34627,69650,104804,124661,82007,110500,24196,58580,22739,39293,39645,67221,32510,178142,48967,64729,48716,7828,24404,26031,131760,31073,26912,108916,242608,101630,66756,49837,108843,50726,78026,39908,38708,28585,207654,190155,67554,65832,58024,47279,127511,207293,29658,34259,140681,51833,102696,88436,104244,58806,43619,444342,122555,40805,142088,55367,53457,16284,68365,30459,120611,35389,35154,63472,88280,23885,452952,23857,81424,30309,198348,24448,27310
departamental,11975,12071,12154,13558,8319,37478,10995,16970,52364,9051,25088,78521,20987,15640,86635,16643,11511,10799,12416,9933,40229,31013,12656,14704,20555,11305,6458,8670,16526,9295,9792,21940,49163,15080,12879,8007,19204,24078,22368,12587,9093,18074,10432,10308,12117,38546,14799,13558,17318,0,33220,15308,18884,12183,12114,11394,9204,11546,11888,10250,8317,12815,11958,14520,16728,31562,34755,9240,35787,28676,11727,17134,25132,18868,16859,17574,32653,12690,35646,26032,10228,29083,20971,9483,9325,11031,14056,10176,15507,9337,23120,12294,14198,9164,5535,8079,10261,35825,11873,9112,24096,77263,10853,15268,14451,22993,17812,22247,18239,17781,10126,43581,49623,14104,13591,12671,17043,31488,71009,10564,9018,24907,9973,33194,24520,28321,24866,8934,101398,29118,9046,25289,10526,13028,7743,12679,9823,42843,8886,9675,11602,16619,9897,126510,11750,23099,10289,50856,12357,15668
derecho,65723,146656,74576,107379,71366,313294,63522,106201,370075,62287,156978,567956,163995,151089,558619,102873,80968,73152,112145,80247,181008,215777,98048,133557,125668,79856,27025,66733,111716,61018,66500,216709,343363,93756,99509,55344,98115,175266,268843,117664,41366,171353,66019,74381,130225,346366,167610,83262,152495,33220,0,112860,135533,58238,92250,134638,104361,75197,61323,72305,54268,78456,88883,113234,142751,127135,219724,114297,286180,300018,36489,109870,137210,127853,88498,99439,201911,68821,138189,186019,209125,158878,195774,44492,103582,51714,75650,75079,125202,60394,288849,82953,118025,86321,28618,45403,51085,236108,64716,51000,196136,480778,170523,110461,86664,187535,95403,149363,99536,88438,56176,387387,322716,113159,123500,103901,92106,210097,390736,57313,60296,243255,86615,188154,161154,187302,114103,73197,794143,230721,74745,245515,96830,102872,33273,125493,53830,218546,59237,61570,108724,152648,47280,799138,47678,137823,56160,346534,52985,52125
derechos,24117,50191,26357,39338,29240,110505,26310,41467,140812,22377,61732,223172,65741,54702,230192,43148,35545,27149,38564,29386,84380,90441,36036,46395,50739,32483,11017,32031,43187,26596,25650,75688,135191,35333,39049,22904,41894,67959,95011,42498,16955,59457,28852,33136,46019,122377,64060,33347,55842,15308,112860,0,48591,22843,33223,47173,36509,27272,28037,29397,22026,31631,32429,41221,54827,80292,80530,39298,100220,100995,18158,44476,52522,49669,40393,41025,78136,25635,67675,69279,69613,67151,69732,21014,42379,32175,35991,29681,47414,22892,100410,31843,45225,32836,14613,22571,21319,93265,25807,20533,72085,196029,57628,46017,36881,74296,38438,56821,44326,48776,26188,154626,118228,39197,45445,39053,43009,84566,170779,24044,24734,88744,36453,75537,65505,73796,49133,27771,290541,89727,31203,86292,34307,39349,15934,44998,22254,90892,24139,22109,43405,51838,19550,309097,21979,50576,22833,136441,30614,24703
doctrina,36399,69240,41005,53457,35770,164849,32152,54972,191287,37616,83699,280979,79215,73480,298203,55048,38711,37665,56286,40993,95028,110870,49690,69418,62664,40711,14982,30287,61331,32576,34012,107844,169205,49878,49170,28075,53011,90462,128546,59377,22338,87966,32479,37261,55988,178281,83449,43446,76449,18884,135533,48591,0,34197,48069,65624,51510,41476,30491,35850,29113,40779,46522,59090,67463,56606,118608,54479,144652,148629,22412,57199,70465,65224,44903,51576,107867,38932,72450,104856,98387,84390,97069,23824,47765,23219,36215,37929,62646,30562,141292,43581,58244,41575,16179,23146,26572,120625,34028,26539,99409,253406,80919,59245,45246,93752,50069,77606,48754,38804,27349,182131,175525,59358,61192,51230,45102,104320,196410,28995,32135,121396,39170,101409,82521,95562,60590,37491,404774,112964,36862,124812,47432,50019,17403,59627,30962,126476,31293,34543,51818,81741,25470,425332,28060,77325,29541,183331,24667,29196
efecto,18877,26353,22526,24877,15652,72476,16400,28491,88919,16905,42804,131175,35465,31690,141399,25382,19479,19083,24060,18249,51623,52306,22182,31864,31411,20417,10170,14487,26853,14234,16304,44832,79869,26870,23043,12406,28504,43369,48334,23553,12727,35296,15597,16544,23573,75653,32559,21378,32039,12183,58238,22843,34197,0,23384,24813,19759,20853,16684,16401,13978,20200,22299,27103,29890,34777,59780,21217,67539,62333,14266,26155,39042,30398,24570,27958,56527,20232,41529,46030,30543,45364,41685,13399,18340,13716,18763,17745,27664,15594,51077,20203,25325,17662,8395,11702,15012,56900,18983,13300,48125,124973,27303,24266,21463,40556,25889,37546,25902,22651,14912,79384,88531,27095,26003,21300,23902,48904,97592,15858,15243,51117,14757,52426,42909,45251,33353,15786,185816,52926,16080,52172,20069,23715,9726,25462,15639,65491,14210,17487,20480,34535,15993,208030,15427,40692,17178,84029,14209,22588
elementos,25035,48050,30869,41893,22152,117863,21305,41044,132130,23465,61549,196403,51893,56095,186767,32286,28340,30783,38910,30787,60715,79641,34774,58819,45163,29666,11115,21064,37941,19542,23307,79162,114900,38322,35731,16257,36277,65065,83659,39986,15433,56360,19106,25956,37545,126396,58694,28651,50994,12114,92250,33223,48069,23384,0,45895,33155,30049,22476,23359,20301,30506,33651,40949,52185,41293,90281,40042,109190,116067,13417,36060,59128,42737,31239,39622,81272,30533,44872,65079,69208,60096,73130,15246,36477,17870,25013,27497,45018,24169,93845,31398,41941,29102,7903,14836,19411,80999,24877,18535,69268,180738,55046,33957,27142,60850,33167,55405,31009,30563,19117,127767,137360,43475,42746,36348,32205,64810,124540,21501,21646,86820,22155,66794,64634,64645,40235,25980,295647,83352,24770,85506,31757,39476,11278,49842,20816,77343,18183,26076,33436,59691,20965,309920,18677,63197,24236,112339,16791,24118
ello,27764,75042,35896,52797,35024,159247,28567,49128,175208,29711,70364,260048,76003,75015,256516,47124,39041,33765,56404,38597,70018,102644,47905,69999,54780,36831,8764,28387,53883,26516,31854,113782,156013,44710,47428,25388,35783,80424,137077,60640,17438,86732,27602,36822,58545,177789,88354,36038,77588,11394,134638,47173,65624,24813,45895,0,55154,36158,24214,33058,25316,35373,43405,55969,69241,48191,101230,60692,139734,155695,12259,50706,59878,58755,35584,42246,91642,30426,50263,89285,119377,68228,98421,18231,54904,21216,33342,34649,60415,28036,154475,39641,57494,42428,8344,19689,20801,109051,25840,23007,98181,215063,94138,52286,38131,94344,39301,66514,35125,34066,23109,186659,155832,56943,60198,51594,39674,95805,164792,24466,27804,123424,41868,82529,71775,85897,46449,37663,388696,108642,34097,127559,48338,47459,11877,65108,24536,94028,27862,29122,56058,79587,17793,379871,18445,66393,24606,159682,20222,20538
embargo,22545,57737,26098,39878,28528,122977,22646,37969,135965,23149,52112,201379,60978,56124,206680,38775,30038,24879,44662,29150,55854,77295,36299,50511,42930,28759,6929,21622,44613,22276,24569,87172,125022,35040,36329,20814,26311,60517,110697,47934,13673,69751,23830,29708,46149,137038,68108,27840,63068,9204,104361,36509,51510,19759,33155,55154,0,27785,18920,26208,20076,27011,33143,44661,52845,38971,77608,46769,106832,115518,10985,41242,40542,47794,27476,31078,69879,21622,40465,70428,91940,50934,74582,15074,42085,15938,26530,26263,46365,21088,122861,31164,43561,32907,6183,15798,16843,87373,19556,17950,74763,160623,74090,43796,31175,74618,31254,50281,25442,25026,18111,143749,120891,45036,46433,39515,30986,80476,130956,18403,22692,97842,35651,65570,55190,67443,36420,30007,297937,82759,27474,100778,38303,34727,9795,46726,19468,75915,23079,21919,44835,60904,13141,293772,13816,50777,18347,129754,16694,16875
